EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
1001,Susan,Exantus,2562-08-29 00:00:00.000,NULL,Software Engineer,Angela Carlson,susan.exantus@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,NULL,Software Engineering,Engineers,2500-09-21 00:00:00.000,MA,Engineer,Female,1749,Black,Married,Fully Meets,3
1002,Sandra,Martin,2565-12-12 00:00:00.000,2566-05-28 00:00:00.000,Software Engineer,Angela Hayes,sandra.martin@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Involuntary,Behind buy our of very claim.,Software Engineering,Catv,2493-07-08 00:00:00.000,MA,Foreman,Female,2135,Asian,Widowed,Fully Meets,3
1003,Keyla,Del Bosque,2566-03-08 00:00:00.000,2566-03-15 00:00:00.000,Software Engineer,Christina Copeland,keyla.del bosque@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Voluntary,Some make teach quite range seem conference.,Software Engineering,Field Operations,2516-11-23 00:00:00.000,MA,Foreman,Female,2176,White,Married,Fully Meets,3
1004,Andrew,Szabo,2563-05-29 00:00:00.000,2564-03-05 00:00:00.000,Software Engineer,Jennifer Cohen,andrew.szabo@bilearner.com,PYZ,Active,Part-Time,Zone C,Part-Time,Involuntary,Enter beautiful social store.,Software Engineering,Project Management - Con,2500-01-27 00:00:00.000,MA,Coordinator,Male,2140,Black,Single,Fully Meets,3
1005,Luke,Patronick,2565-09-16 00:00:00.000,NULL,Software Engineer,Mr. Jesus Richards,luke.patronick@bilearner.com,SVG,Active,Full-Time,Zone B,Temporary,Unk,NULL,Software Engineering,Field Operations,2513-07-28 00:00:00.000,MA,Project Manager,Male,1844,Black,Divorced,Fully Meets,3
1006,Colby,Andreola,2564-08-15 00:00:00.000,2564-11-20 00:00:00.000,Software Engineer,Beth Johnson,colby.andreola@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Resignation,Throughout yet in serious here wish.,Software Engineering,Engineers,2502-02-19 00:00:00.000,MA,Administrative,Female,2110,White,Widowed,Fully Meets,3
1007,Edward,Trick,2563-10-25 00:00:00.000,2564-09-26 00:00:00.000,Software Engineer,Raymond Adams,edward.true@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Involuntary,Recently however meeting economic.,Software Engineering,General - Con,2543-03-18 00:00:00.000,MA,Lineman,Male,2451,Black,Widowed,Fully Meets,3
1008,Judith,Carabbio,2562-08-28 00:00:00.000,2563-05-04 00:00:00.000,Software Engineer,Jessica Rhodes,judith.carabbio@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Voluntary,Instead story skill financial who.,Software Engineering,General - Con,2524-12-21 00:00:00.000,MA,Foreman,Female,2132,Hispanic,Married,Fully Meets,3
1009,Adell,Saada,2562-06-13 00:00:00.000,2566-01-12 00:00:00.000,Software Engineer,Steven Tran,adell.saada@bilearner.com,NEL,Active,Part-Time,Zone C,Temporary,Retirement,Exactly vote including easy.,Software Engineering,General - Con,2530-03-01 00:00:00.000,MA,Model Assistant,Female,2132,Other,Single,Fully Meets,3
1010,Kamari,Hunter,2564-01-12 00:00:00.000,2565-03-18 00:00:00.000,Software Engineer,Kristen Collier,kamari.hunter@bilearner.com,EW,Voluntarily Terminated,Part-Time,Zone C,Temporary,Voluntary,West note present Mr woman family.,Software Engineering,Field Operations,2535-10-21 00:00:00.000,MA,Supervisor,Male,12889,Hispanic,Divorced,Fully Meets,3
1011,Sarah,Malone,2565-02-07 00:00:00.000,2566-02-12 00:00:00.000,Software Engineer,David Lopez,sarah.malone@bilearner.com,MSC,Voluntarily Terminated,Contract,Zone A,Temporary,Resignation,Professor situation they bag interest there.,Software Engineering,General - Con,2491-02-22 00:00:00.000,MA,Foreman,Male,21340,Hispanic,Married,Fully Meets,3
1012,Skyler,Blackwell,2563-11-09 00:00:00.000,2564-06-06 00:00:00.000,Software Engineer,Candice Schmidt,skyler.blackwell@bilearner.com,TNS,Voluntarily Terminated,Contract,Zone A,Temporary,Involuntary,Get apply economy artist right benefit ground.,Software Engineering,General - Eng,2521-10-03 00:00:00.000,MA,Administrative,Male,67544,White,Single,Fully Meets,3
1013,Jasmin,Shah,2563-05-13 00:00:00.000,NULL,Software Engineer,Christy Craig,jasmin.shah@bilearner.com,PYZ,Active,Part-Time,Zone B,Full-Time,Unk,NULL,Software Engineering,Engineers,2517-11-19 00:00:00.000,MA,Engineer,Male,36398,Asian,Single,Fully Meets,3
1014,Kole,Quinn,2565-12-31 00:00:00.000,2566-07-13 00:00:00.000,Shared Services Manager,Jermaine Weaver,kole.quinn@bilearner.com,WBL,Active,Part-Time,Zone A,Full-Time,Retirement,I back place no three offer economic.,Software Engineering,Catv,2496-07-13 00:00:00.000,MA,Clerk,Male,2562,Other,Single,Fully Meets,3
1015,Ansley,Jackson,2561-12-03 00:00:00.000,NULL,Shared Services Manager,James Barajas,ansley.jackson@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Unk,NULL,Software Engineering,People Services,2504-12-04 00:00:00.000,MA,Vp,Female,22621,White,Married,Fully Meets,3
1016,Jayda,Reese,2563-02-21 00:00:00.000,2564-05-29 00:00:00.000,Senior BI Developer,Tyler Davis,jayda.reese@bilearner.com,PL,Active,Part-Time,Zone B,Part-Time,Involuntary,Friend agree stock teach price fish.,Admin Offices,Shop (Fleet),2499-03-08 00:00:00.000,MA,Mechanic,Female,64065,White,Single,Fully Meets,3
1017,Julien,Whitehead,2563-09-07 00:00:00.000,2564-12-15 00:00:00.000,Senior BI Developer,Joshua Gonzalez,julien.whitehead@bilearner.com,BPC,Active,Full-Time,Zone B,Full-Time,Involuntary,True system strong often experience.,Admin Offices,Field Operations,2490-07-05 00:00:00.000,MA,Laborer,Female,97374,Black,Single,Fully Meets,3
1018,Alan,Haynes,2563-06-19 00:00:00.000,2564-12-08 00:00:00.000,Senior BI Developer,Justin Sherman,alan.haynes@bilearner.com,CCDR,Active,Part-Time,Zone A,Part-Time,Involuntary,When price group admit fall fly around.,Admin Offices,General - Con,2485-02-24 00:00:00.000,MA,Laborer,Female,87646,White,Married,Fully Meets,3
1019,Kamryn,Herrera,2565-10-14 00:00:00.000,2566-07-28 00:00:00.000,Software Engineer,Sara Holland,kamryn.herrera@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone A,Temporary,Retirement,Article tough away forward home. Night author so.,Software Engineering,Fielders,2521-11-28 00:00:00.000,MA,Engineer,Male,77974,Hispanic,Widowed,Fully Meets,3
1020,Kelvin,Foster,2566-06-20 00:00:00.000,2566-07-18 00:00:00.000,Software Engineer,Shelia Graham,kelvin.foster@bilearner.com,MSC,Voluntarily Terminated,Contract,Zone C,Full-Time,Resignation,Man issue never strategy will maintain resource.,Software Engineering,Field Operations,2533-12-20 00:00:00.000,MA,Supervisor,Female,42126,Black,Widowed,Fully Meets,3
1021,Joe,Fletcher,2563-11-09 00:00:00.000,2566-07-17 00:00:00.000,Software Engineer,Amanda Hayden,joe.fletcher@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone C,Full-Time,Resignation,Section hospital clearly season history.,Software Engineering,General - Eng,2532-01-25 00:00:00.000,MA,Billing,Male,51613,Hispanic,Single,Fully Meets,3
1022,Frederick,Howe,2565-09-19 00:00:00.000,NULL,Software Engineer,Nicole Haynes,frederick.howe@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Unk,NULL,Software Engineering,Field Operations,2505-06-11 00:00:00.000,MA,Engineer,Male,12765,Black,Divorced,Fully Meets,3
1023,Nickolas,Davila,2561-11-09 00:00:00.000,2564-10-10 00:00:00.000,Shared Services Manager,Debra Morales,nickolas.davila@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Voluntary,Each wish foot person morning per significant.,Software Engineering,General - Con,2535-04-05 00:00:00.000,MA,Clerk,Male,64122,Hispanic,Divorced,Fully Meets,3
1024,Kasey,Boyer,2561-12-30 00:00:00.000,2564-06-23 00:00:00.000,Shared Services Manager,Chad Andrews,kasey.boyer@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Free may every real agency as blue maintain.,Software Engineering,Fielders,2530-03-30 00:00:00.000,MA,Coordinator,Female,91332,Other,Divorced,Fully Meets,3
